reporting_week,reporting_month,reporting_quarter,reporting_year,product_group_l1,product_name,product,region,country,channel,channel_type,customer_segment,acquisition_channel,customer_type,volume,revenue
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,861660,263247
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,581115,181719
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,361386,111202
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,143657,40979
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,364405,70760
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,219023,44970
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,139176,28591
2023-01-02,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,51716,9887
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,255226,91751
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,180592,61971
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,115248,38901
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,45395,15114
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,432676,126464
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,310793,87114
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,177922,51489
2023-01-02,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,75783,21510
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,1001151,306789
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,662826,202702
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,391097,120914
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,143144,42626
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,364242,72459
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,231131,45386
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,128598,26971
2023-01-09,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,56865,11925
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,265703,96366
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,190961,69800
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,116487,40279
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,44094,15485
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,450238,122664
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,334872,91808
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,188510,51611
2023-01-09,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,68902,19353
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,986201,300091
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,638002,190211
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,404494,122745
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,141439,42159
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,332795,66092
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,217285,41842
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,129463,25728
2023-01-16,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,52989,10681
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,276163,98495
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,187439,63768
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,109660,38374
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,44315,15002
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,502485,147082
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,304516,83118
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,188223,55274
2023-01-16,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,74448,20708
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,914674,287226
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,590940,170487
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,393468,116568
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,158316,49140
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,319539,64564
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,219798,45786
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,135502,26780
2023-01-23,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,55261,11086
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,303090,110255
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,189949,68887
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,109300,36648
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,45547,16344
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,NA,Canada,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,444697,120710
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,293158,80982
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,182130,49039
2023-01-23,2023-01-01,2023-Q1,2023,Growth Products,Enterprise Suite,Volume License,LATAM,Brazil,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,72943,20532
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,NA,US,Direct,Sales-Led,Enterprise,Organic Search,Tech-Native,948346,283568
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,EMEA,Germany,Partner,Partner-Led,Enterprise,Paid Search,Tech-Native,674300,196686
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Core Product,Annual Contract,APAC,Singapore,Self-Serve,Product-Led,Enterprise,Referral,Tech-Native,404875,116081
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Core Product,Monthly Subscription,LATAM,Mexico,Inbound,Marketing-Led,Enterprise,Partnership,Tech-Native,146690,43999
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,NA,Canada,Direct,Sales-Led,SMB,Organic Search,Traditional,340554,69403
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,EMEA,France,Partner,Partner-Led,SMB,Paid Search,Traditional,231084,48204
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Volume License,APAC,Japan,Self-Serve,Product-Led,SMB,Referral,Traditional,138475,28701
2023-01-30,2023-01-01,2023-Q1,2023,Core Products,Support Add-on,Monthly Subscription,LATAM,Brazil,Inbound,Marketing-Led,SMB,Partnership,Traditional,54301,10929
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,NA,US,Direct,Sales-Led,Mid-Market,Organic Search,Digital-First,291190,100819
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,EMEA,UK,Partner,Partner-Led,Mid-Market,Paid Search,Digital-First,178589,60169
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Usage-Based,APAC,Australia,Self-Serve,Product-Led,Mid-Market,Referral,Digital-First,110718,38701
2023-01-30,2023-01-01,2023-Q1,2023,Growth Products,Analytics Add-on,Annual Contract,LATAM,Mexico,Inbound,Marketing-Led,Mid-Market,Partnership,Digital-First,41279,13914
